2026-04-01 21:29:44.398 | INFO     | __main__:main:599 | Logging to session.log
2026-04-01 21:29:53.038 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-01 21:29:53.038 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x00\x00') and b'' -> 0x0000
2026-04-01 21:29:53.090 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0000(0x)
2026-04-01 21:29:53.151 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x00\x00\x00hG4P658887a\x01\xbc*p\x94\xdd\xf8\x1aK\xe8\x00d\x00e\x02\x01\x01\xe8\x03\xe8\x03\x01\x00\x00\x00\x00\x00888R0050201')
2026-04-01 21:29:53.151 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-01 21:29:53.151 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.MACHINE_INFO(0x) -> 0x000000684734503635383838376101bc2a7094ddf81a4be800640065020101e803e8030100000000003838385230303530323031
2026-04-01 21:29:53.155 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-01 21:29:53.156 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x00\x01') and b'' -> 0x0001
2026-04-01 21:29:53.197 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0001(0x)
2026-04-01 21:29:53.227 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-01 21:29:53.227 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-01 21:29:53.227 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-01 21:29:54.231 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-01 21:29:54.231 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x00\x01') and b'' -> 0x0001
2026-04-01 21:29:54.260 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0001(0x)
2026-04-01 21:29:54.293 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-01 21:29:54.293 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-01 21:29:54.293 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-01 21:29:55.296 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-01 21:29:55.296 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x07\x08') and b'' -> 0x0708
2026-04-01 21:29:55.325 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0708(0x)
2026-04-01 21:29:56.541 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x07\x08\x00')
2026-04-01 21:29:56.541 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-01 21:29:56.541 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.DELETE_EMBROIDERY(0x) -> 0x070800
2026-04-01 21:29:56.542 | SUCCESS  | sendpp1.core.machine:delete_emboridery:739 | Embroidery deletition completed successfully
2026-04-01 21:29:56.544 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-01 21:29:56.544 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x12\x00\x03\x14\x00\x00\x00H\x06\x00\x00\x00') and b'\x03\x14\x00\x00\x00H\x06\x00\x00\x00' -> 0x120003140000004806000000
2026-04-01 21:29:56.572 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 120003140000004806000000(0x03140000004806000000)
2026-04-01 21:29:57.786 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x12\x00\x00')
2026-04-01 21:29:57.786 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-01 21:29:57.786 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.PREPARE_TRANSFER(0x03140000004806000000) -> 0x120000
2026-04-01 21:29:57.787 | SUCCESS  | sendpp1.core.machine:prepare_transfer:783 | Sent preliminary data. the machine is expecting 20 bytes with checksum 0x0648
2026-04-01 21:29:57.787 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-01 21:29:57.787 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x12\x01\x00\x00\x00\x00P\x00S\x00P\x00P\x00\xa0\x00\xa0\x00\xf0\x00\xf0\x00\xf5\x00\xf0\x00H\x06') and b'\x00\x00\x00\x00P\x00S\x00P\x00P\x00\xa0\x00\xa0\x00\xf0\x00\xf0\x00\xf5\x00\xf0\x00H\x06' -> 0x1201000000005000530050005000a000a000f000f000f500f0004806
2026-04-01 21:29:57.818 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 1201000000005000530050005000a000a000f000f000f500f0004806(0x000000005000530050005000a000a000f000f000f500f0004806)
2026-04-01 21:29:57.847 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x12\x01\x01\x00\x00\x00\x00')
2026-04-01 21:29:57.847 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-01 21:29:57.847 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.DATA_PACKET(0x000000005000530050005000a000a000f000f000f500f0004806) -> 0x12010100000000
2026-04-01 21:29:57.848 | ERROR    | sendpp1.core.machine:transfer:804 | Data packet 1 / 1 failed with status: 1 (offset=0)
2026-04-01 21:29:57.849 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.LAYOUT_DATA(1797) to bytearray 0x0705
2026-04-01 21:29:57.849 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x07\x05\x00\x00\x00\x00d\x00d\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') and b'\x00\x00\x00\x00d\x00d\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' -> 0x0705000000006400640000000001000000000000000000000000
2026-04-01 21:29:57.877 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0705000000006400640000000001000000000000000000000000(0x000000006400640000000001000000000000000000000000)
2026-04-01 21:29:58.102 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x07\x05')
2026-04-01 21:29:58.102 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.LAYOUT_DATA(1797) to bytearray 0x0705
2026-04-01 21:29:58.102 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.LAYOUT_DATA(0x000000006400640000000001000000000000000000000000) -> 0x0705
2026-04-01 21:29:58.102 | SUCCESS  | sendpp1.core.machine:send_layout:757 | Sended layout data
2026-04-01 21:29:58.104 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.SEND_UUID(1802) to bytearray 0x070a
2026-04-01 21:29:58.104 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x07\n\xb2I1\xff-\xcd\x15H\x8f\x8f9\r\xac\xa9\x10(') and b'\xb2I1\xff-\xcd\x15H\x8f\x8f9\r\xac\xa9\x10(' -> 0x070ab24931ff2dcd15488f8f390daca91028
2026-04-01 21:29:58.134 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 070ab24931ff2dcd15488f8f390daca91028(0xb24931ff2dcd15488f8f390daca91028)
2026-04-01 21:29:58.416 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x07\n\x00')
2026-04-01 21:29:58.416 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.SEND_UUID(1802) to bytearray 0x070a
2026-04-01 21:29:58.416 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.SEND_UUID(0xb24931ff2dcd15488f8f390daca91028) -> 0x070a00
2026-04-01 21:29:58.416 | ERROR    | sendpp1.core.machine:set_pattern_uuid:675 | the UUID: ff3149b2-cd2d-4815-8f8f-390daca91028 failed
2026-04-01 21:29:58.418 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.EMBROIDERY_INFO(1798) to bytearray 0x0706
2026-04-01 21:29:58.418 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x07\x06') and b'' -> 0x0706
2026-04-01 21:29:58.461 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0706(0x)
2026-04-01 21:29:58.492 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x07\x06\x00\x00\x00\x00\x00\x00\x00\x00\xe7\x03\x00\x00\x90\x01\x01')
2026-04-01 21:29:58.493 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.EMBROIDERY_INFO(1798) to bytearray 0x0706
2026-04-01 21:29:58.493 | SUCCESS  | sendpp1.core.machine:machine_request:642 | MachineCommand.EMBROIDERY_INFO(0x) -> 0x07060000000000000000e7030000900101
2026-04-01 21:29:58.493 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-01 21:29:58.493 | TRACE    | sendpp1.core.machine:build_cmd:610 | From: bytearray(b'\x00\x01') and b'' -> 0x0001
2026-04-01 21:29:58.522 | TRACE    | sendpp1.core.machine:send:615 | BTSend: 0001(0x)
2026-04-01 21:29:58.553 | TRACE    | sendpp1.core.machine:receive:619 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
